,Video.file,Group,Clip.duration,Trial,ID,Experienced,Start..secs.,Tot.start,End..secs.,Tot.end,Behav,Result,SawSuccess,SawInteraction,Attm,success,observe
343,MAH00537,KI,1788,1,XYG-GRO,Yes,1674,1785,1683,1794,BupT,1,0,0,0,1,0
369,MAH00537,KI,1788,1,XYG-GRO,Yes,1743,1854,1747,1858,BupT,1,0,0,0,1,0
347,MAH00537,KI,1788,1,PPX,Yes,1766,1877,1767,1878,Bscrounge,1,0,0,0,0,0
154,HDV_1105,KI,346,2,KBV-GKX,No,172,2461,173,2462,Ascrounge,1,0,0,0,0,0
170,HDV_1106,KI,172,2,OB-X,Yes,15,2650,19,2654,OBupT,0,1,0,0,0,1
163,HDV_1105,KI,346,2,OB-X,Yes,42,2331,43,2332,OCattemptD,0,0,1,1,0,1
153,HDV_1105,KI,346,2,OB-X,Yes,44,2333,48,2337,OAlog,0,0,1,0,0,1
144,HDV_1104,KI,325,2,OB-X,Yes,45,2009,50,2014,Bscrounge,1,0,0,0,0,0
172,HDV_1106,KI,172,2,OB-X,Yes,71,2706,75,2710,Bscrounge,1,0,0,0,0,0
150,HDV_1105,KI,346,2,OB-X,Yes,101,2390,114,2403,Ascrounge,1,0,0,0,0,0
143,HDV_1104,KI,325,2,OB-X,Yes,126,2090,129,2093,OBattemptD,0,0,1,1,0,1
168,HDV_1106,KI,172,2,OB-X,Yes,159,2794,166,2801,AattemptD,0,0,0,1,0,0
160,HDV_1105,KI,346,2,OB-X,Yes,198,2487,212,2501,BattemptD,0,0,0,1,0,0
149,HDV_1105,KI,346,2,OB-X,Yes,212,2501,217,2506,OCattemptD,0,0,1,1,0,1
157,HDV_1105,KI,346,2,OB-X,Yes,217,2506,219,2508,OAattemptD,0,0,1,1,0,1
151,HDV_1105,KI,346,2,OB-X,Yes,219,2508,222,2511,OCattemptD,0,0,1,1,0,1
161,HDV_1105,KI,346,2,OB-X,Yes,222,2511,227,2516,OBupT,0,1,0,0,0,1
141,HDV_1104,KI,325,2,OB-X,Yes,267,2231,272,2236,Ascrounge,1,0,0,0,0,0
140,HDV_1104,KI,325,2,OB-X,Yes,285,2249,296,2260,Ascrounge,1,0,0,0,0,0
171,HDV_1106,KI,172,2,XYG-GRO,Yes,15,2650,19,2654,BupT,1,0,0,0,1,0
145,HDV_1104,KI,325,2,XYG-GRO,Yes,22,1986,25,1989,BupT,1,0,0,0,1,0
134,HDV_1103,KI,65,2,XYG-GRO,Yes,25,1924,34,1933,BdownT,1,0,0,0,1,0
155,HDV_1105,KI,346,2,XYG-GRO,Yes,42,2331,43,2332,CattemptD,0,0,0,1,0,0
156,HDV_1105,KI,346,2,XYG-GRO,Yes,44,2333,48,2337,Alog,1,0,0,0,1,0
162,HDV_1105,KI,346,2,XYG-GRO,Yes,103,2392,108,2397,Ascrounge,1,0,0,0,0,0
142,HDV_1104,KI,325,2,XYG-GRO,Yes,126,2090,129,2093,BattemptD,0,0,0,1,0,0
169,HDV_1106,KI,172,2,XYG-GRO,Yes,166,2801,172,2807,OAattemptD,0,0,1,1,0,1
159,HDV_1105,KI,346,2,XYG-GRO,Yes,168,2457,170,2459,Ascrounge,1,0,0,0,0,0
139,HDV_1104,KI,325,2,XYG-GRO,Yes,169,2133,210,2174,Alog,1,0,0,0,1,0
152,HDV_1105,KI,346,2,XYG-GRO,Yes,212,2501,217,2506,CattemptD,0,0,0,1,0,0
148,HDV_1105,KI,346,2,XYG-GRO,Yes,217,2506,219,2508,AattemptD,0,0,0,1,0,0
147,HDV_1105,KI,346,2,XYG-GRO,Yes,219,2508,222,2511,CattemptD,0,0,0,1,0,0
158,HDV_1105,KI,346,2,XYG-GRO,Yes,222,2511,227,2516,BupT,1,0,0,0,1,0
146,HDV_1104,KI,325,2,XYG-GRO,Yes,276,2240,280,2244,Ascrounge,1,0,0,0,0,0
266,HDV_1121,KI,360,3,OB-X,Yes,128,2935,143,2950,OAlog,0,1,0,0,0,1
265,HDV_1121,KI,360,3,OB-X,Yes,147,2954,159,2966,Ascrounge,1,0,0,0,0,0
282,HDV_1123,KI,371,3,OB-X,Yes,158,3838,179,3859,Bscrounge,1,0,0,0,0,0
271,HDV_1121,KI,360,3,OB-X,Yes,159,2966,164,2971,Ascrounge,1,0,0,0,0,0
267,HDV_1121,KI,360,3,OB-X,Yes,214,3021,217,3024,Ascrounge,1,0,0,0,0,0
280,HDV_1123,KI,371,3,OB-X,Yes,311,3991,316,3996,Ascrounge,1,0,0,0,0,0
277,HDV_1123,KI,371,3,XYG-GRO,Yes,50,3730,53,3733,AattemptL,0,0,0,1,0,0
274,HDV_1122,KI,513,3,XYG-GRO,Yes,59,3226,69,3236,BupT,1,0,0,0,1,0
278,HDV_1123,KI,371,3,XYG-GRO,Yes,109,3789,119,3799,BupT,1,0,0,0,1,0
270,HDV_1121,KI,360,3,XYG-GRO,Yes,128,2935,143,2950,Alog,1,0,0,0,1,0
281,HDV_1123,KI,371,3,XYG-GRO,Yes,224,3904,239,3919,Alog,1,0,0,0,1,0
