bird_id,bird,year,sex,cohort,age,tarsus,weight,body_cond,handling,ret_latency,time,time_minutes,session,in_ses_trial,cumul_site,distance,angle,height,worms_ate,,
8,Gamble,2020,0,2016,4,33.8,28.1,0.831360947,17.759,16,9:49,589,3,1,6,7,211,1.6,6,,
8,Gamble,2020,0,2016,4,33.8,28.1,0.831360947,8.252,16,9:49,589,3,2,7,5,255,0.7,6,,
8,Gamble,2020,0,2016,4,33.8,28.1,0.831360947,11.997,16,9:49,589,3,3,6,7,211,1.6,6,,
8,Gamble,2020,0,2016,4,33.8,28.1,0.831360947,9.999,16,9:49,589,3,4,6,7,211,1.6,6,,
8,Gamble,2020,0,2016,4,33.8,28.1,0.831360947,14.092,16,9:49,589,3,5,6,7,211,1.6,6,,
8,Gamble,2021,0,2016,5,33.8,27.5,0.813609467,18.764,,11:27,687,1,1,1,5,60,1,,,
8,Gamble,2021,0,2016,5,33.8,27.5,0.813609467,16.261,,11:27,687,1,2,1,5,60,1,,,
8,Gamble,2021,0,2016,5,33.8,27.5,0.813609467,12.878,,11:27,687,1,3,1,5,60,1,,,
8,Gamble,2021,0,2016,5,33.8,27.5,0.813609467,17.251,,11:27,687,1,4,1,5,60,1,,,
8,Gamble,2021,0,2016,5,33.8,27.5,0.813609467,9.501,,11:27,687,1,5,1,5,60,1,,,
8,Gamble,2021,0,2016,5,33.8,,,32.501,,9:57,597,2,1,2,5,59,0.5,,,
8,Gamble,2021,0,2016,5,33.8,,,13.75,,9:57,597,2,2,3,7,265,2.2,,,
8,Gamble,2021,0,2016,5,33.8,,,25.244,,9:57,597,2,3,4,7,210,1.4,,,
8,Gamble,2021,0,2016,5,33.8,,,19.502,,9:57,597,2,4,3,7,265,2.2,,,
8,Gamble,2021,0,2016,5,33.8,,,16,,9:57,597,2,5,3,7,265,2.2,,,
8,Gamble,2021,0,2016,5,33.8,,,5.254,,11:54,714,3,1,3,7,265,2.2,,,
8,Gamble,2021,0,2016,5,33.8,,,19,,11:54,714,3,2,1,5,60,1,,,
8,Gamble,2021,0,2016,5,33.8,,,12.243,,11:54,714,3,3,3,7,265,2.2,,,
8,Gamble,2021,0,2016,5,33.8,,,10.248,,11:54,714,3,4,3,7,265,2.2,,,
8,Gamble,2021,0,2016,5,33.8,,,8.004,,11:54,714,3,5,3,7,265,2.2,,,
9,McFly,2020,0,2015,5,33.1,27.4,0.827794562,26.752,18,9:46,586,1,1,1,2.9,11,2.1,5,,
9,McFly,2020,0,2015,5,33.1,27.4,0.827794562,13.847,18,9:46,586,1,2,1,2.9,11,2.1,5,,
9,McFly,2020,0,2015,5,33.1,27.4,0.827794562,7.601,18,9:46,586,1,3,1,2.9,11,2.1,5,,
9,McFly,2020,0,2015,5,33.1,27.4,0.827794562,5.249,18,9:46,586,1,4,1,2.9,11,2.1,5,,
9,McFly,2020,0,2015,5,33.1,27.4,0.827794562,18.755,18,9:46,586,1,5,2,13,90,5,5,,
9,McFly,2020,0,2015,5,33.1,27,0.81570997,24.503,25,9:56,596,2,1,3,6.3,173,0.4,11,,
